Line # ,Name,Description,Reference Designators,Quantity,Manufacturer,Manufacturer Part Number,Status
1,SESD0402X1UN-0030-088,"ESD Diode, 7.0 V Standoff, 8.8 V Clamp, ±22 kV Protection, 0.3 pF, 0402 DFN","D1_I2C_Port1, D1_I2C_Port2, D1_I2C_Port3, D1_I2C_Port_In",4,SESD0402X1UN-0030-088,Littelfuse,Likely Replaceable
2,43045-0400,CONN HEADER R/A 4POS 3MM,"J1_I2C_Port1, J1_I2C_Port2, J1_I2C_Port3, J1_I2C_Port_In",4,Molex,43045-0400,Connector
3,742792731,"Ferrite Bead, 90 mΩ DC, 100 Ω @ 100 MHz ± 25%, 1200 mA, 0402 [1005 Metric]","L1_I2C_Port1, L1_I2C_Port2, L1_I2C_Port3, L1_I2C_Port_In, L2_I2C_Port1, L2_I2C_Port2, L2_I2C_Port3, L2_I2C_Port_In",8,742792731,Wurth Elektronik,Generic
4,QBLP595-IG,"Chip LED 0402, Green, 0.02 A, 3.1 to 3.7 V, -40 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",LED1,1,QBLP595-IG,QT-Brightek,Generic
5,CRCW040210K0FKED,"SMD Chip Resistor, 10.0 kohm, ± 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose",R1,1,CRCW040210K0FKED,Vishay,Generic
