Line #,Name,Description,Refernce Designators,Quantity,Manufacturer,Manufacturer Part Number,Status
1,LTST-C930KGKT,LED Uni-Color Green 574nm 2-Pin Chip LED T/R / LED GREEN CLEAR 1209 SMD,"DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS8, DS9, DS10, DS11, DS12, DS13, DS14, DS15, DS16, DS17, DS18, DS19, DS20, DS21, DS22, DS23, DS24, DS25, DS26, DS27, DS28, DS29, DS30",30,Vishay Lite-On,LTST-C930KGKT,Critical
2,Molex - 4 pin - SMD side-mount,"Header, 2 Row, Right-Angle, Solder Tab, 4 Pin, Gold Plate, SMT, Glow Wire Compatible",J1,1,Molex,43045-0410,Connector
3,AL5809-20P1-7,"Two Terminal Constant Current LED Driver PowerDI, 2.5V to 60V, -40 °C to 125 °C","U1, U2, U3",3,Diodes,AL5809-20P1-7,Critical
4,ERA6AEB201V,,"R1, R2, R3",3,Panasonic,ERA-6AEB201V,Generic
