Part Number,Name,Quantity
530-00011-1,XLR Breakout,1
950-00022-1,MicroscopeLight_35MM,1
950-00035-1,TemperatureHumiditySensor,4
950-00036-1,I2cSplitter,1
950-00039-1,CurrentLimitedMultiTilt,1
950-00043-1,IsolatedOmniController,3
950-00044-1,IsolatedPowerDistribution,1
950-00045-1,IsolatedPinchValveController,4
950-00051-1,TMC5130Hopper,8
